#chrom	chromStart	chromEnd	name	strand	protShortNames	geneName	geneSynonyms
chr1	69090	70005	Q8NH21	+		OR4F5	
chr1	450742	451678	Q6IEY1	-		OR4F3; OR4F16; OR4F29	
chr1	685718	686654	Q6IEY1	-		OR4F3; OR4F16; OR4F29	
chr1	925941	944150	Q96NU1-3	+	SAM domain-containing protein 11	SAMD11	
chr1	944696	959240	Q9Y3T9	-	Protein NOC2 homolog	NOC2L	NIR
chr1	960693	965188	Q6TDP4	+		KLHL17	
chr1	966531	974572	Q494U1-1	+	PH domain-containing family N member 1	PLEKHN1	
chr1	976174	981029	Q5SV97-1	-		PERM1	C1orf170
chr1	999061	999973	Q9HCC6	-	hHES4	HES4	BHLHB42
chr1	1013573	1014475	P05161	+		ISG15	G1P2; UCRP
chr1	1020172	1054978	O00468-1	+		AGRN	AGRIN
chr1	1071819	1072566	E7ERA6	-		RNF223	
chr1	1082895	1091543	Q96HA4-1	-		C1orf159	
chr1	1179215	1197844	Q6ZVT0-1	+		TTLL10	
chr1	1203846	1206571	Q9Y5U5-1	-		TNFRSF18	AITR; GITR
chr1	1211557	1214127	P43489	-		TNFRSF4	TXGP1L
chr1	1217514	1228793	Q9BRK5-1	-	Cab45	SDF4	CAB45
chr1	1232278	1233265	Q96L58	+	Beta-1,3-GalTase 6; Beta3Gal-T6; Beta3GalT6	B3GALT6	
chr1	1242550	1246690	Q5T7M4	-		C1QTNF12	C1QDC2; CTRP12; FAM132A
chr1	1255205	1267992	Q8N2K1-1	-		UBE2J2	NCUBE2
chr1	1284024	1291607	P51172-1	+		SCNN1D	DNACH
chr1	1293566	1307815	Q96P50-3	-		ACAP3	CENTB5; KIAA1716
chr1	1308643	1311376	Q8N0Z8-1	+		PUSL1	
chr1	1311861	1324608	Q5TA45-1	-	Int11	INTS11	CPSF3L; RC68
chr1	1326910	1327760	Q5TA50	+	CPTP	CPTP	GLTPD1
chr1	1331345	1334461	Q7RTX0	+		TAS1R3	T1R3; TR3
chr1	1336144	1349065	O14640-1	-	Dishevelled-1	DVL1	
chr1	1336144	1349065	P54792-1	-		DVL1P1	DVL; DVL1; DVL1L1
chr1	1353606	1358504	Q9BRK3-1	-		MXRA8	
chr1	1373803	1374756	Q9NWT8	-	AURKA-interacting protein	AURKAIP1	AIP; AKIP; MRPS38
chr1	1387233	1399306	Q96S94-1	-		CCNL2	
chr1	1402085	1407217	Q9BYC9-1	-	L20mt; MRP-L20	MRPL20	
chr1	1419102	1421005	E5RJM6-1	-		ANKRD65	
chr1	1426127	1427784	A6NKF7	+		TMEM88B	
chr1	1435748	1439784	Q6PCB0-1	+		VWA1	
chr1	1450683	1468527	Q5T2N8	+		ATAD3C	
chr1	1471884	1495814	Q5T9A4-1	+		ATAD3B	KIAA1273; TOB3
chr1	1512268	1534069	Q9NVI7-1	+		ATAD3A	
chr1	1535361	1540346	Q5SV17	-		TMEM240	C1orf70
chr1	1542068	1574557	Q9NP77-1	-	CTD phosphatase SSU72	SSU72	
chr1	1599337	1600015	F2Z333	-		FNDC10	C1orf233
chr1	1615630	1630527	Q96AX9-1	+		MIB2	SKD; ZZANK1
chr1	1632218	1634622	O75900-1	+	MMP-23	MMP23A; MMP23B	MMP21; MMP21; MMP22
chr1	1635766	1657485	P21127-1	-		CDK11B	CDC2L1; CDK11; PITSLREA; PK58
chr1	1635766	1657485	Q9UQ88-1	-		CDK11A	CDC2L2; CDC2L3; PITSLREB
chr1	1665784	1676699	P0CK96	-		SLC35E2B	KIAA0447
chr1	1668326	1676699	P0CK97-1	-		SLC35E2	
chr1	1702909	1722818	P21127-1	-		CDK11B	CDC2L1; CDK11; PITSLREA; PK58
chr1	1702909	1722818	Q9UQ88-1	-		CDK11A	CDC2L2; CDC2L3; PITSLREB
chr1	1732457	1739557	P0CK97-1	-		SLC35E2	
chr1	1752906	1765406	O95544-1	-		NADK	
chr1	1787333	1825453	P62873-1	-		GNB1	
chr1	1915280	1917190	Q8TD86	+		CALML6	CAGLP; CALGP
chr1	1917884	1919265	Q8NDY8-1	-		TMEM52	
chr1	1922289	1990956	Q9C0B2-1	-		CFAP74	C1orf222; KIAA1751
chr1	2019423	2030279	O14764	+		GABRD	
chr1	2050630	2185006	Q05513-1	+		PRKCZ	PKC2
chr1	2189711	2194749	Q6NZ36-1	-		FAAP20	C1orf86
chr1	2228766	2306762	P12755	+		SKI	
chr1	2321385	2391533	Q5T089-1	-		MORN1	
chr1	2395790	2403121	O15258	+		RER1	
chr1	2405768	2412502	O60683-1	-		PEX10	RNF69
chr1	2476588	2505210	O75038-1	+		PLCH2	KIAA0450; PLCL4
chr1	2508849	2526587	Q9NVE7	-	hPanK4	PANK4	
chr1	2529471	2530164	Q5TA89	-		HES5	BHLHB38
chr1	2556664	2563270	Q92956-1	+		TNFRSF14	HVEA; HVEM
chr1	2586885	2589424	Q8TBF2-1	+	Prostamide/PG F synthase; Prostamide/PGF synthase	FAM213B	C1orf93
chr1	2590992	2629484	Q495T6-1	-		MMEL1	MELL1; MMEL2; NEP2
chr1	2641370	2789591	A8MYJ7	-	TPR repeat protein 34	TTC34	
chr1	3021686	3022817	Q8TDY3	+	ARP-T2	ACTRT2	ARPM2
chr1	3069259	3433808	Q9HAZ2-1	+		PRDM16	KIAA1675; MEL1; PFM13
chr1	3463084	3480584	Q5VV41-1	+		ARHGEF16	EPHEXIN4; NBR
chr1	3490530	3611268	O75095-1	-	Multiple EGF-like domains protein 6	MEGF6	EGFL3; KIAA0815
chr1	3625072	3628600	Q5T0D9-1	+		TPRG1L	FAM79A; MOVER
chr1	3630977	3649999	Q9P2S5	-		WRAP73	WDR8
chr1	3682365	3733076	O15350-1	+		TP73	P73
chr1	3752481	3771520	Q2M243	+		CCDC27	
chr1	3775373	3775918	B2RUZ4	+		SMIM1	
chr1	3781090	3796476	Q8N1G4	-		LRRC47	KIAA1185
chr1	3815404	3852407	O60308-1	-	Cep104	CEP104	KIAA0562
chr1	3857603	3883738	O76075-1	+		DFFB	CAD; DFF2; DFF40
chr1	3889962	3900186	Q8IYL3	-		C1orf174	
chr1	4655425	4774496	Q9UKB5	+		AJAP1	MOT8; SHREW1
chr1	5863267	5986289	O75161-1	-		NPHP4	KIAA0673
chr1	6040568	6098571	Q13303-1	+		KCNAB2	KCNA2B; KCNK2
